index,min_lng,min_lat,max_lng,max_lat
0,74.28422699999973,23.059220531669062,74.33422699999973,23.109220531669063
1,74.33422699999973,23.059220531669062,74.38422699999973,23.109220531669063
2,74.38422699999973,23.059220531669062,74.43422699999972,23.109220531669063
3,74.43422699999972,23.059220531669062,74.48422699999972,23.109220531669063
4,74.48422699999972,23.059220531669062,74.53422699999972,23.109220531669063
5,74.53422699999972,23.059220531669062,74.58422699999971,23.109220531669063
6,74.13422699999974,23.109220531669063,74.18422699999974,23.159220531669064
7,74.18422699999974,23.109220531669063,74.23422699999973,23.159220531669064
8,74.23422699999973,23.109220531669063,74.28422699999973,23.159220531669064
9,74.28422699999973,23.109220531669063,74.33422699999973,23.159220531669064
10,74.33422699999973,23.109220531669063,74.38422699999973,23.159220531669064
11,74.38422699999973,23.109220531669063,74.43422699999972,23.159220531669064
12,74.43422699999972,23.109220531669063,74.48422699999972,23.159220531669064
13,74.48422699999972,23.109220531669063,74.53422699999972,23.159220531669064
14,74.53422699999972,23.109220531669063,74.58422699999971,23.159220531669064
15,74.58422699999971,23.109220531669063,74.63422699999971,23.159220531669064
16,74.08422699999974,23.159220531669064,74.13422699999974,23.209220531669065
17,74.13422699999974,23.159220531669064,74.18422699999974,23.209220531669065
18,74.18422699999974,23.159220531669064,74.23422699999973,23.209220531669065
19,74.23422699999973,23.159220531669064,74.28422699999973,23.209220531669065
20,74.28422699999973,23.159220531669064,74.33422699999973,23.209220531669065
21,74.33422699999973,23.159220531669064,74.38422699999973,23.209220531669065
22,74.38422699999973,23.159220531669064,74.43422699999972,23.209220531669065
23,74.43422699999972,23.159220531669064,74.48422699999972,23.209220531669065
24,74.48422699999972,23.159220531669064,74.53422699999972,23.209220531669065
25,74.53422699999972,23.159220531669064,74.58422699999971,23.209220531669065
26,74.58422699999971,23.159220531669064,74.63422699999971,23.209220531669065
27,74.63422699999971,23.159220531669064,74.68422699999971,23.209220531669065
28,74.68422699999971,23.159220531669064,74.7342269999997,23.209220531669065
29,74.08422699999974,23.209220531669065,74.13422699999974,23.259220531669065
30,74.13422699999974,23.209220531669065,74.18422699999974,23.259220531669065
31,74.18422699999974,23.209220531669065,74.23422699999973,23.259220531669065
32,74.23422699999973,23.209220531669065,74.28422699999973,23.259220531669065
33,74.28422699999973,23.209220531669065,74.33422699999973,23.259220531669065
34,74.33422699999973,23.209220531669065,74.38422699999973,23.259220531669065
35,74.38422699999973,23.209220531669065,74.43422699999972,23.259220531669065
36,74.43422699999972,23.209220531669065,74.48422699999972,23.259220531669065
37,74.48422699999972,23.209220531669065,74.53422699999972,23.259220531669065
38,74.53422699999972,23.209220531669065,74.58422699999971,23.259220531669065
39,74.58422699999971,23.209220531669065,74.63422699999971,23.259220531669065
40,74.63422699999971,23.209220531669065,74.68422699999971,23.259220531669065
41,74.68422699999971,23.209220531669065,74.7342269999997,23.259220531669065
42,74.7342269999997,23.209220531669065,74.7842269999997,23.259220531669065
43,73.98422699999975,23.259220531669065,74.03422699999975,23.309220531669066
44,74.03422699999975,23.259220531669065,74.08422699999974,23.309220531669066
45,74.08422699999974,23.259220531669065,74.13422699999974,23.309220531669066
46,74.13422699999974,23.259220531669065,74.18422699999974,23.309220531669066
47,74.18422699999974,23.259220531669065,74.23422699999973,23.309220531669066
48,74.23422699999973,23.259220531669065,74.28422699999973,23.309220531669066
49,74.28422699999973,23.259220531669065,74.33422699999973,23.309220531669066
50,74.33422699999973,23.259220531669065,74.38422699999973,23.309220531669066
51,74.38422699999973,23.259220531669065,74.43422699999972,23.309220531669066
52,74.43422699999972,23.259220531669065,74.48422699999972,23.309220531669066
53,74.48422699999972,23.259220531669065,74.53422699999972,23.309220531669066
54,74.53422699999972,23.259220531669065,74.58422699999971,23.309220531669066
55,74.58422699999971,23.259220531669065,74.63422699999971,23.309220531669066
56,74.63422699999971,23.259220531669065,74.68422699999971,23.309220531669066
57,74.68422699999971,23.259220531669065,74.7342269999997,23.309220531669066
58,73.83422699999976,23.309220531669066,73.88422699999975,23.359220531669067
59,73.88422699999975,23.309220531669066,73.93422699999975,23.359220531669067
60,73.93422699999975,23.309220531669066,73.98422699999975,23.359220531669067
61,73.98422699999975,23.309220531669066,74.03422699999975,23.359220531669067
62,74.03422699999975,23.309220531669066,74.08422699999974,23.359220531669067
63,74.08422699999974,23.309220531669066,74.13422699999974,23.359220531669067
64,74.13422699999974,23.309220531669066,74.18422699999974,23.359220531669067
65,74.18422699999974,23.309220531669066,74.23422699999973,23.359220531669067
66,74.23422699999973,23.309220531669066,74.28422699999973,23.359220531669067
67,74.28422699999973,23.309220531669066,74.33422699999973,23.359220531669067
68,74.33422699999973,23.309220531669066,74.38422699999973,23.359220531669067
69,74.38422699999973,23.309220531669066,74.43422699999972,23.359220531669067
70,74.43422699999972,23.309220531669066,74.48422699999972,23.359220531669067
71,74.48422699999972,23.309220531669066,74.53422699999972,23.359220531669067
72,74.53422699999972,23.309220531669066,74.58422699999971,23.359220531669067
73,73.83422699999976,23.359220531669067,73.88422699999975,23.409220531669067
74,73.88422699999975,23.359220531669067,73.93422699999975,23.409220531669067
75,73.93422699999975,23.359220531669067,73.98422699999975,23.409220531669067
76,73.98422699999975,23.359220531669067,74.03422699999975,23.409220531669067
77,74.03422699999975,23.359220531669067,74.08422699999974,23.409220531669067
78,74.08422699999974,23.359220531669067,74.13422699999974,23.409220531669067
79,74.13422699999974,23.359220531669067,74.18422699999974,23.409220531669067
80,74.18422699999974,23.359220531669067,74.23422699999973,23.409220531669067
